date,IR3TIB01USM156N,unrate
1964-06-01,3.86,5.2
1964-07-01,3.87,4.9
1964-08-01,3.85,5.0
1964-09-01,3.87,5.1
1964-10-01,3.94,5.1
1964-11-01,3.99,4.8
1964-12-01,4.14,5.0
1965-01-01,4.13,4.9
1965-02-01,4.19,5.1
1965-03-01,4.27,4.7
1965-04-01,4.28,4.8
1965-05-01,4.32,4.6
1965-06-01,4.31,4.6
1965-07-01,4.29,4.4
1965-08-01,4.3,4.4
1965-09-01,4.34,4.3
1965-10-01,4.46,4.2
1965-11-01,4.49,4.1
1965-12-01,4.75,4.0
1966-01-01,4.95,4.0
1966-02-01,5.05,3.8
1966-03-01,5.19,3.8
1966-04-01,5.26,3.8
1966-05-01,5.38,3.9
1966-06-01,5.5,3.8
1966-07-01,5.62,3.8
1966-08-01,5.72,3.8
1966-09-01,5.86,3.7
1966-10-01,5.83,3.7
1966-11-01,5.79,3.6
1966-12-01,5.65,3.8
1967-01-01,5.4,3.9
1967-02-01,5.18,3.8
1967-03-01,5.01,3.8
1967-04-01,4.43,3.8
1967-05-01,4.49,3.8
1967-06-01,4.66,3.9
1967-07-01,5.0,3.8
1967-08-01,4.93,3.8
1967-09-01,4.91,3.8
1967-10-01,5.22,4.0
1967-11-01,5.4,3.9
1967-12-01,5.62,3.8
1968-01-01,5.48,3.7
1968-02-01,5.33,3.8
1968-03-01,5.58,3.7
1968-04-01,5.78,3.5
1968-05-01,6.14,3.5
1968-06-01,6.12,3.7
1968-07-01,6.03,3.7
1968-08-01,5.85,3.5
1968-09-01,5.78,3.4
1968-10-01,5.9,3.4
1968-11-01,6.05,3.4
1968-12-01,6.27,3.4
1969-01-01,6.5,3.4
1969-02-01,6.52,3.4
1969-03-01,6.65,3.4
1969-04-01,6.84,3.4
1969-05-01,7.28,3.4
1969-06-01,8.01,3.5
1969-07-01,8.69,3.5
1969-08-01,8.38,3.5
1969-09-01,8.47,3.7
1969-10-01,8.56,3.7
1969-11-01,8.46,3.5
1969-12-01,8.77,3.5
1970-01-01,8.91,3.9
1970-02-01,8.58,4.2
1970-03-01,8.08,4.4
1970-04-01,7.51,4.6
1970-05-01,8.08,4.8
1970-06-01,8.07,4.9
1970-07-01,8.01,5.0
1970-08-01,7.72,5.1
1970-09-01,7.3,5.4
1970-10-01,6.76,5.5
1970-11-01,6.08,5.9
1970-12-01,5.67,6.1
1971-01-01,5.09,5.9
1971-02-01,4.38,5.9
1971-03-01,3.85,6.0
1971-04-01,4.45,5.9
1971-05-01,4.98,5.9
1971-06-01,5.4,5.9
1971-07-01,5.75,6.0
1971-08-01,5.74,6.1
1971-09-01,5.63,6.0
1971-10-01,5.27,5.8
1971-11-01,4.87,6.0
1971-12-01,4.65,6.0
1972-01-01,3.95,5.8
1972-02-01,3.61,5.7
1972-03-01,4.08,5.8
1972-04-01,4.6,5.7
1972-05-01,4.41,5.7
1972-06-01,4.64,5.7
1972-07-01,4.82,5.6
1972-08-01,4.85,5.6
1972-09-01,5.13,5.5
1972-10-01,5.25,5.6
1972-11-01,5.22,5.3
1972-12-01,5.43,5.2
1973-01-01,5.81,4.9
1973-02-01,6.34,5.0
1973-03-01,7.05,4.9
1973-04-01,7.31,5.0
1973-05-01,7.55,4.9
1973-06-01,8.16,4.9
1973-07-01,9.7,4.8
1973-08-01,10.77,4.8
1973-09-01,10.59,4.8
1973-10-01,9.2,4.6
1973-11-01,9.24,4.8
1973-12-01,9.27,4.9
1974-01-01,9.0,5.1
1974-02-01,8.08,5.2
1974-03-01,8.84,5.1
1974-04-01,10.25,5.1
1974-05-01,11.2,5.1
1974-06-01,11.38,5.4
1974-07-01,12.25,5.5
1974-08-01,12.23,5.5
1974-09-01,11.6,5.9
1974-10-01,9.78,6.0
1974-11-01,9.09,6.6
1974-12-01,9.23,7.2
1975-01-01,7.48,8.1
1975-02-01,6.41,8.1
1975-03-01,6.18,8.6
1975-04-01,6.26,8.8
1975-05-01,5.79,9.0
1975-06-01,5.82,8.8
1975-07-01,6.55,8.6
1975-08-01,6.87,8.4
1975-09-01,7.03,8.4
1975-10-01,6.56,8.4
1975-11-01,6.26,8.3
1975-12-01,6.03,8.2
1976-01-01,5.14,7.9
1976-02-01,5.18,7.7
1976-03-01,5.34,7.6
1976-04-01,5.12,7.7
1976-05-01,5.56,7.4
1976-06-01,5.84,7.6
1976-07-01,5.52,7.8
1976-08-01,5.39,7.8
1976-09-01,5.33,7.6
1976-10-01,5.12,7.7
1976-11-01,5.01,7.8
1976-12-01,4.67,7.8
1977-01-01,4.83,7.5
1977-02-01,4.83,7.6
1977-03-01,4.84,7.4
1977-04-01,4.8,7.2
1977-05-01,5.36,7.0
1977-06-01,5.42,7.2
1977-07-01,5.46,6.9
1977-08-01,5.9,7.0
1977-09-01,6.19,6.8
1977-10-01,6.67,6.8
1977-11-01,6.68,6.8
1977-12-01,6.71,6.4
1978-01-01,6.94,6.4
1978-02-01,6.9,6.3
1978-03-01,6.86,6.3
1978-04-01,7.03,6.1
1978-05-01,7.4,6.0
1978-06-01,7.83,5.9
1978-07-01,8.12,6.2
1978-08-01,8.06,5.9
1978-09-01,8.64,6.0
1978-10-01,9.44,5.8
1978-11-01,10.72,5.9
1978-12-01,10.72,6.0
1979-01-01,10.51,5.9
1979-02-01,10.19,5.9
1979-03-01,10.13,5.8
1979-04-01,10.06,5.8
1979-05-01,10.16,5.6
1979-06-01,9.95,5.7
1979-07-01,10.11,5.7
1979-08-01,10.71,6.0
1979-09-01,11.89,5.9
1979-10-01,13.66,6.0
1979-11-01,13.9,5.9
1979-12-01,13.43,6.0
1980-01-01,13.39,6.3
1980-02-01,14.3,6.3
1980-03-01,17.57,6.3
1980-04-01,16.14,6.9
1980-05-01,9.79,7.5
1980-06-01,8.49,7.6
1980-07-01,8.65,7.8
1980-08-01,9.91,7.7
1980-09-01,11.29,7.5
1980-10-01,12.94,7.5
1980-11-01,15.68,7.5
1980-12-01,18.65,7.2
1981-01-01,17.19,7.5
1981-02-01,16.14,7.4
1981-03-01,14.43,7.4
1981-04-01,15.08,7.2
1981-05-01,18.27,7.5
1981-06-01,16.9,7.5
1981-07-01,17.76,7.2
1981-08-01,17.96,7.4
1981-09-01,16.84,7.6
1981-10-01,15.39,7.9
1981-11-01,12.48,8.3
1981-12-01,12.49,8.5
1982-01-01,13.51,8.6
1982-02-01,15.0,8.9
1982-03-01,14.21,9.0
1982-04-01,14.44,9.3
1982-05-01,13.8,9.4
1982-06-01,14.46,9.6
1982-07-01,13.44,9.8
1982-08-01,10.61,9.8
1982-09-01,10.66,10.1
1982-10-01,9.51,10.4
1982-11-01,8.95,10.8
1982-12-01,8.66,10.8
1983-01-01,8.36,10.4
1983-02-01,8.54,10.4
1983-03-01,8.69,10.3
1983-04-01,8.63,10.2
1983-05-01,8.49,10.1
1983-06-01,9.2,10.1
1983-07-01,9.5,9.4
1983-08-01,9.77,9.5
1983-09-01,9.39,9.2
1983-10-01,9.18,8.8
1983-11-01,9.36,8.5
1983-12-01,9.69,8.3
1984-01-01,9.42,8.0
1984-02-01,9.54,7.8
1984-03-01,10.08,7.8
1984-04-01,10.41,7.7
1984-05-01,11.11,7.4
1984-06-01,11.34,7.2
1984-07-01,11.56,7.5
1984-08-01,11.47,7.5
1984-09-01,11.29,7.3
1984-10-01,10.38,7.4
1984-11-01,9.18,7.2
1984-12-01,8.6,7.3
1985-01-01,8.14,7.3
1985-02-01,8.69,7.2
1985-03-01,9.02,7.2
1985-04-01,8.49,7.3
1985-05-01,7.92,7.2
1985-06-01,7.44,7.4
1985-07-01,7.64,7.4
1985-08-01,7.81,7.1
1985-09-01,7.93,7.1
1985-10-01,7.88,7.1
1985-11-01,7.81,7.0
1985-12-01,7.8,7.0
1986-01-01,7.82,6.7
1986-02-01,7.69,7.2
1986-03-01,7.24,7.2
1986-04-01,6.6,7.1
1986-05-01,6.65,7.2
1986-06-01,6.73,7.2
1986-07-01,6.37,7.0
1986-08-01,5.92,6.9
1986-09-01,5.71,7.0
1986-10-01,5.69,7.0
1986-11-01,5.76,6.9
1986-12-01,6.04,6.6
1987-01-01,5.87,6.6
1987-02-01,6.1,6.6
1987-03-01,6.17,6.6
1987-04-01,6.52,6.3
1987-05-01,6.99,6.3
1987-06-01,6.94,6.2
1987-07-01,6.7,6.1
1987-08-01,6.75,6.0
1987-09-01,7.37,5.9
1987-10-01,8.02,6.0
1987-11-01,7.24,5.8
1987-12-01,7.66,5.7
1988-01-01,6.92,5.7
1988-02-01,6.6,5.7
1988-03-01,6.63,5.7
1988-04-01,6.92,5.4
1988-05-01,7.24,5.6
1988-06-01,7.51,5.4
1988-07-01,7.94,5.4
1988-08-01,8.35,5.6
1988-09-01,8.23,5.4
1988-10-01,8.36,5.4
1988-11-01,8.78,5.3
1988-12-01,9.25,5.3
1989-01-01,9.2,5.4
1989-02-01,9.51,5.2
1989-03-01,10.09,5.0
1989-04-01,9.94,5.2
1989-05-01,9.59,5.2
1989-06-01,9.2,5.3
1989-07-01,8.76,5.2
1989-08-01,8.64,5.2
1989-09-01,8.78,5.3
1989-10-01,8.6,5.3
1989-11-01,8.39,5.4
1989-12-01,8.32,5.4
1990-01-01,8.16,5.4
1990-02-01,8.22,5.3
1990-03-01,8.35,5.2
1990-04-01,8.42,5.4
1990-05-01,8.35,5.4
1990-06-01,8.23,5.2
1990-07-01,8.1,5.5
1990-08-01,7.97,5.7
1990-09-01,8.06,5.9
1990-10-01,8.06,5.9
1990-11-01,8.03,6.2
1990-12-01,7.82,6.3
1991-01-01,7.17,6.4
1991-02-01,6.52,6.6
1991-03-01,6.45,6.8
1991-04-01,6.06,6.7
1991-05-01,5.91,6.9
1991-06-01,6.07,6.9
1991-07-01,5.98,6.8
1991-08-01,5.65,6.9
1991-09-01,5.47,6.9
1991-10-01,5.33,7.0
1991-11-01,4.94,7.0
1991-12-01,4.47,7.3
1992-01-01,4.05,7.3
1992-02-01,4.07,7.4
1992-03-01,4.25,7.4
1992-04-01,4.0,7.4
1992-05-01,3.82,7.6
1992-06-01,3.86,7.8
1992-07-01,3.37,7.7
1992-08-01,3.31,7.6
1992-09-01,3.13,7.6
1992-10-01,3.26,7.3
1992-11-01,3.58,7.4
1992-12-01,3.48,7.4
1993-01-01,3.19,7.3
1993-02-01,3.12,7.1
1993-03-01,3.11,7.0
1993-04-01,3.09,7.1
1993-05-01,3.1,7.1
1993-06-01,3.21,7.0
1993-07-01,3.16,6.9
1993-08-01,3.14,6.8
1993-09-01,3.12,6.7
1993-10-01,3.24,6.8
1993-11-01,3.35,6.6
1993-12-01,3.26,6.5
1994-01-01,3.15,6.6
1994-02-01,3.43,6.6
1994-03-01,3.77,6.5
1994-04-01,4.01,6.4
1994-05-01,4.51,6.1
1994-06-01,4.52,6.1
1994-07-01,4.73,6.1
1994-08-01,4.81,6.0
1994-09-01,5.03,5.9
1994-10-01,5.51,5.8
1994-11-01,5.79,5.6
1994-12-01,6.29,5.5
1995-01-01,6.24,5.6
1995-02-01,6.16,5.4
1995-03-01,6.15,5.4
1995-04-01,6.11,5.8
1995-05-01,6.02,5.6
1995-06-01,5.9,5.6
1995-07-01,5.77,5.7
1995-08-01,5.77,5.7
1995-09-01,5.73,5.6
1995-10-01,5.79,5.5
1995-11-01,5.74,5.6
